Var1,Var2
EX_aspalaarg[e],Exchange/demand reactions
EX_aspasnglu[e],Exchange/demand reactions
EX_aspglu[e],Exchange/demand reactions
EX_aspglupro[e],Exchange/demand reactions
EX_aspglutrp[e],Exchange/demand reactions
EX_asphiscys[e],Exchange/demand reactions
EX_asphispro[e],Exchange/demand reactions
EX_asplysglu[e],Exchange/demand reactions
EX_asplyshis[e],Exchange/demand reactions
EX_aspmetasp[e],Exchange/demand reactions
EX_aspprolys[e],Exchange/demand reactions
EX_aspvalasn[e],Exchange/demand reactions
EX_atp[e],Exchange/demand reactions
EX_atvacid[e],Exchange/demand reactions
EX_bgly[e],Exchange/demand reactions
EX_c16dc[e],Exchange/demand reactions
EX_ca24g[e],Exchange/demand reactions
EX_ca3s[e],Exchange/demand reactions
EX_cdca24g[e],Exchange/demand reactions
EX_cdca3g[e],Exchange/demand reactions
EX_cdp[e],Exchange/demand reactions
EX_clpnd[e],Exchange/demand reactions
EX_coa[e],Exchange/demand reactions
EX_coke[e],Exchange/demand reactions
EX_coprost[e],Exchange/demand reactions
EX_crm_hs[e],Exchange/demand reactions
EX_crvnc[e],Exchange/demand reactions
EX_ctp[e],Exchange/demand reactions
EX_cysasnmet[e],Exchange/demand reactions
EX_cysaspphe[e],Exchange/demand reactions
EX_cyscys[e],Exchange/demand reactions
EX_cysglnmet[e],Exchange/demand reactions
EX_cysgluhis[e],Exchange/demand reactions
EX_cysglutrp[e],Exchange/demand reactions
EX_cysleuthr[e],Exchange/demand reactions
EX_cyssermet[e],Exchange/demand reactions
EX_cystyrasn[e],Exchange/demand reactions
EX_dca24g[e],Exchange/demand reactions
EX_dca3g[e],Exchange/demand reactions
EX_dca3s[e],Exchange/demand reactions
EX_dchac[e],Exchange/demand reactions
EX_dcsptn1[e],Exchange/demand reactions
EX_ddca[e],Exchange/demand reactions
EX_dgmp[e],Exchange/demand reactions
EX_dgtp[e],Exchange/demand reactions
EX_dhcholestanate[e],Exchange/demand reactions
EX_dlnlcg[e],Exchange/demand reactions
EX_doco13ac[e],Exchange/demand reactions
EX_docosac[e],Exchange/demand reactions
EX_dopa3glcur[e],Exchange/demand reactions
EX_dopa4glcur[e],Exchange/demand reactions
EX_dtdp[e],Exchange/demand reactions
EX_dtmp[e],Exchange/demand reactions
EX_dttp[e],Exchange/demand reactions
EX_eicostet[e],Exchange/demand reactions
EX_elaid[e],Exchange/demand reactions
EX_fad[e],Exchange/demand reactions
EX_fmn[e],Exchange/demand reactions
EX_fvs[e],Exchange/demand reactions
EX_ga1_hs[e],Miscellaneous
EX_galgluside_hs[e],Miscellaneous
EX_gca3s[e],Exchange/demand reactions
EX_gcdca3s[e],Exchange/demand reactions
EX_gd1a_hs[e],Exchange/demand reactions
EX_gd1b_hs[e],Miscellaneous
EX_gd2_hs[e],Exchange/demand reactions
EX_gd3_hs[e],Exchange/demand reactions
EX_gdca3s[e],Exchange/demand reactions
EX_glnasngln[e],Exchange/demand reactions
EX_glnhishis[e],Exchange/demand reactions
EX_glnhislys[e],Exchange/demand reactions
EX_glnlyslys[e],Exchange/demand reactions
EX_glnlystrp[e],Exchange/demand reactions
EX_glnproglu[e],Exchange/demand reactions
EX_glntrpglu[e],Exchange/demand reactions
EX_glntyrleu[e],Exchange/demand reactions
EX_gluargleu[e],Exchange/demand reactions
EX_gluasnleu[e],Exchange/demand reactions
EX_gluglu[e],Exchange/demand reactions
EX_gluilelys[e],Exchange/demand reactions
EX_gluleu[e],Exchange/demand reactions
EX_glumet[e],Exchange/demand reactions
EX_glumethis[e],Exchange/demand reactions
EX_gluside_hs[e],Exchange/demand reactions
EX_gluthr[e],Exchange/demand reactions
EX_gluthrlys[e],Exchange/demand reactions
EX_glutrpala[e],Exchange/demand reactions
